transaction_id,politician,ticker,transaction_type,owner,asset_type,amount_mid,log_amount_mid,disclosure_delay_days,ou_zscore,filing_date,excess_return_30d,beat_market_30d
7388,Thomas R Carper,TGT,Sale (Full),Spouse,Stock,8000.5,8.987384303086046,6,0.2914792181123908,2015-02-03,0.04097031512873195,1
7396,Sheldon Whitehouse,DD,Sale (Full),Joint,Stock,8000.5,8.987384303086046,20,1.5276547664872446,2015-02-03,-0.013573843021690957,0
7398,Sheldon Whitehouse,DHR,Sale (Partial),Self,Stock,32500.5,10.389041521098926,11,0.5454803201949863,2015-02-03,-0.0008541023773851464,0
7400,Sheldon Whitehouse,GILD,Purchase,Self,Stock,32500.5,10.389041521098926,11,0.9054278714936379,2015-02-03,-0.09181379524822919,0
7379,Pat Roberts,AAPL,Purchase,Spouse,Stock,8000.5,8.987384303086046,7,1.7851308480096209,2015-02-04,0.0397513542829957,1
7380,Pat Roberts,NFLX,Purchase,Spouse,Stock,32500.5,10.389041521098926,8,1.802881936360738,2015-02-04,-0.07903112820413749,0
7382,Pat Roberts,NFLX,Sale (Partial),Spouse,Stock,32500.5,10.389041521098926,19,1.802881936360738,2015-02-04,-0.07903112820413749,0
7277,John F Reed,AMGN,Purchase,Joint,Stock,8000.5,8.987384303086046,10,0.8096533025381816,2015-03-02,0.030210614207855535,1
7245,Thomas R Carper,ABBV,Purchase,Spouse,Stock,8000.5,8.987384303086046,19,0.30673132250748686,2015-03-03,0.04369097019924528,1
7246,Thomas R Carper,ABT,Purchase,Spouse,Stock,8000.5,8.987384303086046,19,0.8230143165817985,2015-03-03,-0.002253011368799296,0
7247,Thomas R Carper,AAPL,Purchase,Spouse,Stock,8000.5,8.987384303086046,19,0.7043742223979095,2015-03-03,-0.01667606035317548,0
7231,Pat Roberts,DVN,Purchase,Spouse,Stock,8000.5,8.987384303086046,28,-0.866272448021889,2015-03-05,0.09560205792369514,1
7233,Pat Roberts,GM,Purchase,Spouse,Stock,8000.5,8.987384303086046,28,0.17108650167057943,2015-03-05,-0.013864742275019992,0
7229,John Hoeven,CAT,Purchase,Self,Stock,175000.5,12.072549824297488,6,-0.9266150091677192,2015-03-09,0.032534080101013885,1
7230,John Hoeven,ABBV,Purchase,Self,Stock,175000.5,12.072549824297488,12,-1.4035985111760174,2015-03-09,0.13934941171383408,1
7215,Sheldon Whitehouse,BMY,Purchase,Child,Stock,8000.5,8.987384303086046,22,1.7251211166522544,2015-03-17,-0.06179630335766517,0
7218,Sheldon Whitehouse,PEP,Purchase,Joint,Stock,8000.5,8.987384303086046,7,-1.8538018878405749,2015-03-17,-0.009894591518264884,0
7220,Sheldon Whitehouse,ABBV,Sale (Full),Self,Stock,8000.5,8.987384303086046,7,0.37241066359075636,2015-03-17,0.08622730301337489,1
7221,Sheldon Whitehouse,AMGN,Purchase,Self,Stock,8000.5,8.987384303086046,7,0.9565139418611596,2015-03-17,-0.025367145383800915,0
7199,Patrick J Toomey,CVX,Purchase,Joint,Stock,32500.5,10.389041521098926,82,0.3120126224188658,2015-03-23,0.024875604164728782,1
